"Spidermonkey -- tested individually"


"Test a*emaila*"
"Size of Input:";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";
"Mean time:";"0.05";"0.05";"0.1";"0.3";"0.5";"0.55";"1.25";"2.45";"4.9";"9.75";"19.45";
"Vari time:";"-0.0025000000000000005";"-0.0025000000000000005";"-0.010000000000000002";"-0.039999999999999994";"-0.2";"-0.30250000000000005";"-1.5125";"-5.802500000000001";"-22.760000000000005";"-90.0625";"-360.25249999999994";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test a* only"
"Size of Input:";"1024";"2048";"4096";"8192";"16384";"32768";"65536";"131072";"262144";"524288";"1048576";
"Mean time:";"0";"0";"0";"0.05";"0.05";"0.1";"0.15";"0.35";"0.75";"1.4";"2.8";
"Vari time:";"0";"0";"0";"-0.0025000000000000005";"-0.0025000000000000005";"-0.010000000000000002";"-0.0225";"-0.12249999999999998";"-0.5125";"-1.7599999999999998";"-7.389999999999999";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test (a+)"
"Size of Input:";"1026";"2050";"4098";"8194";"16386";"32770";"65538";"131074";"262146";"524290";"1048578";
"Mean time:";"0";"0";"0";"0.05";"0.05";"0.1";"0.15";"0.35";"0.7";"1.4";"2.85";
"Vari time:";"0";"0";"0";"-0.0025000000000000005";"-0.0025000000000000005";"-0.010000000000000002";"-0.0225";"-0.12249999999999998";"-0.48999999999999994";"-1.9099999999999997";"-7.6725";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test email validation"
"Size of Input:";"20488";"40968";"81928";"163848";"327688";"655368";"1310728";"2621448";"5242888";"10485768";"20971528";
"Mean time:";"0.15";"0.35";"0.7";"1.4";"2.7";"5.45";"11.05";"22.25";"44.3";"88.6";"176.95";
"Vari time:";"-0.0225";"-0.07249999999999998";"-0.43999999999999995";"-1.7599999999999998";"-6.840000000000001";"-28.4525";"-116.05250000000002";"-470.8625";"-1870.0399999999997";"-7462.759999999999";"-29780.052499999994";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test url validation"
"Size of Input:";"17416";"34824";"69640";"139272";"278536";"557064";"1114120";"2228232";"4456456";"8912904";"17825800";
"Mean time:";"0.05";"0.1";"0.25";"0.5";"1";"1.95";"3.9";"7.9";"16";"31.8";"63.75";
"Vari time:";"-0.0025000000000000005";"-0.010000000000000002";"-0.0625";"-0.25";"-0.95";"-3.6024999999999996";"-14.409999999999998";"-59.96";"-243.2";"-963.19";"-3878.0125";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";


"Spidermonkey -- tested as average over 20 tests"


"Test a*emaila*"
"Size of Input:";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";
"Mean time:";"0.0325";"0.04250000000000001";"0.08000000000000003";"0.16249999999999998";"0.3249999999999999";"0.63";"1.2099999999999995";"2.4475000000000002";"4.892499999999999";"9.667499999999999";"19.440000000000005";
"Vari time:";"-0.0010562500000000001";"-0.0016812500000000007";"-0.0062750000000000045";"-0.02528124999999999";"-0.10112499999999994";"-0.375775";"-1.3920999999999988";"-5.639131250000001";"-22.78455624999999";"-88.94805624999996";"-359.1924750000002";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test a* only"
"Size of Input:";"1024";"2048";"4096";"8192";"16384";"32768";"65536";"131072";"262144";"524288";"1048576";
"Mean time:";"0.0025";"0.0075000000000000015";"0.01";"0.0225";"0.04000000000000001";"0.08500000000000003";"0.16749999999999998";"0.3324999999999999";"0.6650000000000001";"1.3300000000000005";"2.6825";
"Vari time:";"-0.00000625";"0.00006875000000000002";"-0.0001";"-0.00038124999999999997";"-0.0016000000000000007";"-0.006725000000000005";"-0.026931249999999993";"-0.10443124999999993";"-0.4211000000000002";"-1.6777750000000013";"-6.844681250000001";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test (a+)"
"Size of Input:";"1026";"2050";"4098";"8194";"16386";"32770";"65538";"131074";"262146";"524290";"1048578";
"Mean time:";"0.0025";"0.0025";"0.0125";"0.019999999999999997";"0.04250000000000001";"0.08500000000000003";"0.16499999999999998";"0.3324999999999999";"0.6650000000000001";"1.3275000000000003";"2.6774999999999998";
"Vari time:";"-0.00000625";"-0.00000625";"-0.00003125";"-0.00039999999999999986";"-0.0016812500000000007";"-0.006725000000000005";"-0.02609999999999999";"-0.10605624999999994";"-0.4211000000000002";"-1.677756250000001";"-6.804506249999999";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test email validation"
"Size of Input:";"20488";"40968";"81928";"163848";"327688";"655368";"1310728";"2621448";"5242888";"10485768";"20971528";
"Mean time:";"0.175";"0.34999999999999987";"0.6599999999999999";"1.3575000000000004";"2.722500000000001";"5.410000000000002";"10.8825";"21.869999999999997";"43.875";"87.64000000000001";"175.7825";
"Vari time:";"-0.029499999999999995";"-0.1163749999999999";"-0.41447499999999987";"-1.7516812500000012";"-7.047506250000005";"-27.81010000000002";"-112.54268125000002";"-454.3163999999999";"-1829.3125";"-7296.205100000002";"-29365.611181250002";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test url validation"
"Size of Input:";"17416";"34824";"69640";"139272";"278536";"557064";"1114120";"2228232";"4456456";"8912904";"17825800";
"Mean time:";"0.06750000000000003";"0.11750000000000001";"0.2375";"0.46749999999999997";"0.9349999999999998";"1.8775000000000002";"3.777499999999999";"7.725";"15.447499999999996";"30.875000000000007";"61.69249999999998";
"Vari time:";"-0.004431250000000005";"-0.013306250000000002";"-0.053281249999999995";"-0.20843124999999998";"-0.8290999999999997";"-3.3445062500000007";"-13.566381249999992";"-56.711124999999996";"-226.7672562499999";"-905.8336250000004";"-3616.8520562499975";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";

"V8 -- tested individually"

"Test a*emaila*"
"Size of Input:";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";
"Mean time:";"0.1";"0.05";"0.15";"0.6";"0.35";"0.6";"1.2";"2.45";"4.55";"9.1";"18.2";
"Vari time:";"-0.010000000000000002";"-0.0025000000000000005";"-0.0225";"-0.36";"-0.07249999999999998";"-0.36";"-1.39";"-5.552500000000001";"-19.902499999999996";"-78.75999999999999";"-316.78999999999996";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test a* only"
"Size of Input:";"1024";"2048";"4096";"8192";"16384";"32768";"65536";"131072";"262144";"524288";"1048576";
"Mean time:";"0";"0";"0.05";"0";"0.05";"0.1";"0.2";"0.6";"0.75";"1.6";"3.05";
"Vari time:";"0";"0";"-0.0025000000000000005";"0";"-0.0025000000000000005";"-0.010000000000000002";"-0.04000000000000001";"-0.31";"-0.5125";"-2.5100000000000007";"-9.1025";
