
".*schwers.r@gmail.com.*"
"Size of Input";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";" "
"DFA: CPUMEAN";"0.04";"0.05";"0.09";"0.2";"0.39";"0.78";"1.55";"3.12";"6.33";"12.72";"25.7125";""
"DFA: CPUVARIANCE";"0.0064";"0.0075";"0.0099";"0.0";"0.0019";"0.0036";"0.0075";"0.0096";"0.0611";"0.1536";"0.22446875";""
"DFA: REALMEAN";"0.0425";"0.055";"0.0975";"0.1925";"0.39";"0.78";"1.5575";"3.11";"6.3375";"12.7325";"25.695";""
"DFA: REALVARIANCE";"0.00181875";"0.000475";"0.00011875";"0.00031875";"0.00065";"0.0011";"0.00206875";"0.00115";"0.05921875";"0.18081875";"0.212475";""
"DFA: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"DFA: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";""

".*schwers.r@gmail.com.*"
"Size of Input";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";" "
"RGX: CPUMEAN";"0.02";"0.04";"0.08";"0.16";"0.32";"0.58";"1.16";"2.3";"4.72";"9.73";"19.8725";""
"RGX: CPUVARIANCE";"0.0036";"0.0064";"0.0096";"0.0064";"0.0096";"0.0036";"0.0104";"0.01";"0.0136";"0.5971";"1.70886875";""
"RGX: REALMEAN";"0.02";"0.0375";"0.075";"0.1675";"0.31";"0.5775";"1.1625";"2.295";"4.7125";"9.76";"19.915";""
"RGX: REALVARIANCE";"0.0006";"0.00046875";"0.000625";"0.00056875";"0.00065";"0.00086875";"0.00196875";"0.000975";"0.00721875";"0.56965";"1.653025";""
"RGX: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.02";"0.01";"0.03";"0.3";"0.29";""
"RGX: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0036";"0.0019";"0.0051";"0.486";"0.4739";""
"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";""

"a* -- should pass"
"Size of Input";"1024";"2048";"4096";"8192";"16384";"32768";"65536";"131072";"262144";"524288";"1048576";" "
"DFA: CPUMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"DFA: CPUVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"DFA: REALMEAN";"0.0";"0.0";"0.0";"0.0025";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0025";"0.0";""
"DFA: REALVARIANCE";"0.0";"0.0";"0.0";"0.00011875";"0.0";"0.0";"0.0";"0.0";"0.0";"0.00011875";"0.0";""
"DFA: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"DFA: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";""

"a* -- should pass"
"Size of Input";"1024";"2048";"4096";"8192";"16384";"32768";"65536";"131072";"262144";"524288";"1048576";" "
"RGX: CPUMEAN";"0.02";"0.02";"0.04";"0.1";"0.19";"0.42";"0.72";"1.45";"2.89";"5.56";"11.29";""
"RGX: CPUVARIANCE";"0.0076";"0.0036";"0.0064";"0.01";"0.0019";"0.0156";"0.0096";"0.0075";"0.0339";"0.0104";"0.0259";""
"RGX: REALMEAN";"0.015";"0.02";"0.045";"0.0925";"0.1875";"0.4325";"0.7275";"1.4475";"2.8875";"5.565";"11.315";""
"RGX: REALVARIANCE";"0.000525";"0.0006";"0.000475";"0.00081875";"0.00121875";"0.00706875";"0.00261875";"0.00511875";"0.02546875";"0.002025";"0.016775";""
"RGX: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.01";"0.0";"0.01";"0.02";"0.07";"0.06";""
"RGX: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0019";"0.0";"0.0019";"0.0036";"0.0091";"0.0084";""
"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";""

"(a+) -- should pass"
"Size of Input";"1026";"2050";"4098";"8194";"16386";"32770";"65538";"131074";"262146";"524290";"1048578";" "
"DFA: CPUMEAN";"0.03";"0.06";"0.11";"0.22";"0.44";"0.86";"1.75";"3.7425";"7.98";"14.46";"28.6025";""
"DFA: CPUVARIANCE";"0.0051";"0.0084";"0.0099";"0.0036";"0.0064";"0.0084";"0.0075";"0.07581875";"0.4036";"0.2724";"0.19911875";""
"DFA: REALMEAN";"0.0275";"0.055";"0.11";"0.22";"0.44";"0.8775";"1.7575";"3.745";"8.27";"14.4625";"28.6";""
"DFA: REALVARIANCE";"0.00061875";"0.000225";"0.0004";"0.0006";"0.0004";"0.00061875";"0.00056875";"0.065975";"0.9756";"0.30046875";"0.224";""
"DFA: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"DFA: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";""

"(a+) -- should pass"
"Size of Input";"1026";"2050";"4098";"8194";"16386";"32770";"65538";"131074";"262146";"524290";"1048578";" "
"RGX: CPUMEAN";"0.02";"0.04";"0.08";"0.15";"0.34";"0.64";"1.23";"2.6";"4.96";"10.33";"20.3925";""
"RGX: CPUVARIANCE";"0.0036";"0.0064";"0.0096";"0.0075";"0.0084";"0.0104";"0.0211";"0.42";"0.0504";"0.1491";"0.78006875";""
"RGX: REALMEAN";"0.02";"0.04";"0.0775";"0.155";"0.3375";"0.6475";"1.2325";"2.5975";"4.9825";"10.3875";"20.3775";""
"RGX: REALVARIANCE";"0.0006";"0.0004";"0.00061875";"0.000225";"0.00196875";"0.00586875";"0.00081875";"0.42861875";"0.03331875";"0.18296875";"0.79986875";""
"RGX: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.01";"0.0";"0.0";"0.15";"0.05";"0.06";"0.26";""
"RGX: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0019";"0.0";"0.0";"0.4275";"0.0075";"0.0084";"0.4164";""
"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";""

"(a+) -- should fail"
"Size of Input";"1027";"2051";"4099";"8195";"16387";"32771";"65539";"131075";"262147";"524291";"1048579";" "
"DFA: CPUMEAN";"0.03";"0.06";"0.11";"0.22";"0.44";"0.87";"1.74";"3.49";"6.99";"14.0225";"28.11";""
"DFA: CPUVARIANCE";"0.0051";"0.0084";"0.0099";"0.0036";"0.0064";"0.0091";"0.0084";"0.0099";"0.0019";"0.00861875";"0.0619";""
"DFA: REALMEAN";"0.0325";"0.06";"0.1125";"0.2175";"0.4375";"0.87";"1.74";"3.49";"6.99";"14.0225";"28.125";""
"DFA: REALVARIANCE";"0.00056875";"0.0004";"0.00046875";"0.00056875";"0.00046875";"0.0006";"0.0004";"0.0004";"0.0009";"0.00511875";"0.046125";""
"DFA: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"DFA: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";""

"(a+) -- should fail"
"Size of Input";"1027";"2051";"4099";"8195";"16387";"32771";"65539";"131075";"262147";"524291";"1048579";" "
"RGX: CPUMEAN";"0.06";"0.12";"0.24";"0.47";"0.96";"1.93";"3.79";"7.6125";"15.18";"34.9025";"62.2425";""
"RGX: CPUVARIANCE";"0.0084";"0.0096";"0.0064";"0.0091";"0.0064";"0.0131";"0.0019";"0.03696875";"0.0156";"24.05661875";"1.42931875";""
"RGX: REALMEAN";"0.06";"0.1175";"0.2375";"0.475";"0.9675";"1.9275";"3.7825";"7.6075";"15.195";"36.145";"62.355";""
"RGX: REALVARIANCE";"0.0004";"0.00056875";"0.00046875";"0.000625";"0.00231875";"0.00486875";"0.00081875";"0.02256875";"0.008225";"44.586725";"1.825725";""
"RGX: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.01";"0.01";"0.0";"0.06";"0.2";""
"RGX: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0019";"0.0019";"0.0";"0.0084";"0.42";""
