"Spidermonkey"

"Test a*emaila*"
"Size of Input:";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";
"Mean time:";"0.05";"0.05";"0.1";"0.3";"0.5";"0.55";"1.25";"2.45";"4.9";"9.75";"19.45";
"Vari time:";"-0.0025000000000000005";"-0.0025000000000000005";"-0.010000000000000002";"-0.039999999999999994";"-0.2";"-0.30250000000000005";"-1.5125";"-5.802500000000001";"-22.760000000000005";"-90.0625";"-360.25249999999994";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test a* only"
"Size of Input:";"1024";"2048";"4096";"8192";"16384";"32768";"65536";"131072";"262144";"524288";"1048576";
"Mean time:";"0";"0";"0";"0.05";"0.05";"0.1";"0.15";"0.35";"0.75";"1.4";"2.8";
"Vari time:";"0";"0";"0";"-0.0025000000000000005";"-0.0025000000000000005";"-0.010000000000000002";"-0.0225";"-0.12249999999999998";"-0.5125";"-1.7599999999999998";"-7.389999999999999";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test (a+)"
"Size of Input:";"1026";"2050";"4098";"8194";"16386";"32770";"65538";"131074";"262146";"524290";"1048578";
"Mean time:";"0";"0";"0";"0.05";"0.05";"0.1";"0.15";"0.35";"0.7";"1.4";"2.85";
"Vari time:";"0";"0";"0";"-0.0025000000000000005";"-0.0025000000000000005";"-0.010000000000000002";"-0.0225";"-0.12249999999999998";"-0.48999999999999994";"-1.9099999999999997";"-7.6725";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test email validation"
"Size of Input:";"20488";"40968";"81928";"163848";"327688";"655368";"1310728";"2621448";"5242888";"10485768";"20971528";
"Mean time:";"0.15";"0.35";"0.7";"1.4";"2.7";"5.45";"11.05";"22.25";"44.3";"88.6";"176.95";
"Vari time:";"-0.0225";"-0.07249999999999998";"-0.43999999999999995";"-1.7599999999999998";"-6.840000000000001";"-28.4525";"-116.05250000000002";"-470.8625";"-1870.0399999999997";"-7462.759999999999";"-29780.052499999994";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test url validation"
"Size of Input:";"17416";"34824";"69640";"139272";"278536";"557064";"1114120";"2228232";"4456456";"8912904";"17825800";
"Mean time:";"0.05";"0.1";"0.25";"0.5";"1";"1.95";"3.9";"7.9";"16";"31.8";"63.75";
"Vari time:";"-0.0025000000000000005";"-0.010000000000000002";"-0.0625";"-0.25";"-0.95";"-3.6024999999999996";"-14.409999999999998";"-59.96";"-243.2";"-963.19";"-3878.0125";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";

"V8"

"Test a*emaila*"
"Size of Input:";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";
"Mean time:";"0.1";"0.05";"0.15";"0.6";"0.35";"0.6";"1.2";"2.45";"4.55";"9.1";"18.2";
"Vari time:";"-0.010000000000000002";"-0.0025000000000000005";"-0.0225";"-0.36";"-0.07249999999999998";"-0.36";"-1.39";"-5.552500000000001";"-19.902499999999996";"-78.75999999999999";"-316.78999999999996";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test a* only"
"Size of Input:";"1024";"2048";"4096";"8192";"16384";"32768";"65536";"131072";"262144";"524288";"1048576";
"Mean time:";"0";"0";"0.05";"0";"0.05";"0.1";"0.2";"0.6";"0.75";"1.6";"3.05";
"Vari time:";"0";"0";"-0.0025000000000000005";"0";"-0.0025000000000000005";"-0.010000000000000002";"-0.04000000000000001";"-0.31";"-0.5125";"-2.5100000000000007";"-9.1025";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test (a+)"
"Size of Input:";"1026";"2050";"4098";"8194";"16386";"32770";"65538";"131074";"262146";"524290";"1048578";
"Mean time:";"0";"0";"0";"0.05";"0.05";"0.1";"0.2";"0.35";"0.8";"1.55";"3.05";
"Vari time:";"0";"0";"0";"-0.0025000000000000005";"-0.0025000000000000005";"-0.010000000000000002";"0.009999999999999995";"-0.12249999999999998";"-0.5900000000000001";"-2.2025";"-8.8525";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test email validation"
"Size of Input:";"20488";"40968";"81928";"163848";"327688";"655368";"1310728";"2621448";"5242888";"10485768";"20971528";
"Mean time:";"0.15";"0.25";"0.5";"1.15";"2";"3.9";"7.85";"15.95";"32";"63.9";"127.9";
"Vari time:";"-0.0225";"-0.0625";"-0.2";"-1.2724999999999997";"-3.8";"-14.76";"-59.17249999999999";"-243.15249999999997";"-975.95";"-3897.16";"-15626.360000000002";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test url validation"
"Size of Input:";"17416";"34824";"69640";"139272";"278536";"557064";"1114120";"2228232";"4456456";"8912904";"17825800";
"Mean time:";"0.05";"0.15";"0.25";"0.5";"1.1";"2.5";"4.1";"8.2";"16.45";"33.25";"66.5";
"Vari time:";"-0.0025000000000000005";"-0.0225";"-0.0625";"-0.25";"-1.2100000000000002";"-6.05";"-16.009999999999998";"-64.03999999999999";"-259.35249999999996";"-1060.5625";"-4242.25";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";
